jornada,EquipoLocal,EquipoVisitante,golesLocal,golesVisitante
9,Cordoba,Villarreal,5,1
9,Santander,Mallorca,1,1
9,Langreo,Betis,0,0
9,Castellon,Calvo Sotelo,0,0
9,Ontinyent,Burgos,4,0
9,Logrones,Deportivo,0,0
9,Hercules,Sant Andreu,1,0
9,Moscardo,Cadiz,0,0
9,Racing de Ferrol,Rayo Vallecano,1,0
10,Sant Andreu,Castellon,3,1
10,Betis,Ontinyent,1,0
10,Deportivo,Moscardo,3,1
10,Mallorca,Racing de Ferrol,1,1
10,Burgos,Pontevedra,2,0
10,Cadiz,Hercules,0,0
10,Rayo Vallecano,Logrones,1,0
10,Oviedo,Cordoba,3,2
10,Villarreal,Santander,1,1
10,Calvo Sotelo,Langreo,1,0
11,Castellon,Cadiz,1,1
11,Ontinyent,Calvo Sotelo,2,0
11,Logrones,Moscardo,4,1
11,Pontevedra,Betis,5,2
11,Langreo,Sant Andreu,1,1
11,Cordoba,Burgos,3,0
11,Racing de Ferrol,Villarreal,1,0
11,Rayo Vallecano,Mallorca,0,0
11,Santander,Oviedo,3,2
11,Hercules,Deportivo,0,0
12,Betis,Cordoba,0,1
12,Moscardo,Hercules,2,0
12,Deportivo,Castellon,1,0
12,Villarreal,Rayo Vallecano,2,1
12,Calvo Sotelo,Pontevedra,1,0
12,Mallorca,Logrones,3,0
12,Oviedo,Racing de Ferrol,6,1
12,Cadiz,Langreo,0,0
12,Burgos,Santander,3,1
12,Sant Andreu,Ontinyent,2,1
13,Pontevedra,Sant Andreu,0,2
13,Cordoba,Calvo Sotelo,2,1
13,Logrones,Hercules,1,0
13,Santander,Betis,0,1
13,Langreo,Deportivo,1,0
13,Castellon,Moscardo,3,0
13,Mallorca,Villarreal,2,1
13,Rayo Vallecano,Oviedo,1,0
13,Ontinyent,Cadiz,0,0
13,Racing de Ferrol,Burgos,1,0
14,Betis,Racing de Ferrol,4,0
14,Burgos,Rayo Vallecano,2,0
14,Deportivo,Ontinyent,4,0
14,Cadiz,Pontevedra,0,0
14,Oviedo,Mallorca,0,1
14,Hercules,Castellon,1,1
14,Moscardo,Langreo,1,1
14,Villarreal,Logrones,2,0
14,Calvo Sotelo,Santander,3,2
14,Sant Andreu,Cordoba,2,1
15,Santander,Sant Andreu,2,0
15,Rayo Vallecano,Betis,0,1
15,Mallorca,Burgos,2,1
15,Langreo,Hercules,0,0
15,Ontinyent,Moscardo,0,1
15,Cordoba,Cadiz,0,0
15,Pontevedra,Deportivo,1,0
15,Villarreal,Oviedo,2,1
15,Racing de Ferrol,Calvo Sotelo,1,0
15,Logrones,Castellon,0,1
16,Betis,Mallorca,2,0
16,Castellon,Langreo,2,0
16,Cadiz,Santander,3,0
16,Deportivo,Cordoba,1,0
16,Moscardo,Pontevedra,0,0
16,Calvo Sotelo,Rayo Vallecano,0,1
16,Hercules,Ontinyent,1,1
16,Oviedo,Logrones,0,0
16,Burgos,Villarreal,2,1
16,Sant Andreu,Racing de Ferrol,2,0
17,Mallorca,Calvo Sotelo,3,0
17,Ontinyent,Castellon,1,0
17,Racing de Ferrol,Cadiz,0,1
17,Cordoba,Moscardo,2,0
17,Pontevedra,Hercules,2,0
17,Logrones,Langreo,0,2
17,Villarreal,Betis,1,3
17,Santander,Deportivo,2,0
17,Rayo Vallecano,Sant Andreu,3,0
17,Oviedo,Burgos,2,1
18,Castellon,Pontevedra,2,0
18,Cadiz,Rayo Vallecano,0,0
18,Deportivo,Racing de Ferrol,2,2
18,Betis,Oviedo,1,0
18,Hercules,Cordoba,2,2
