identificacion,Tiempo_real,Tiempo_asignado,permitir_Gastos,permitir_tiempo,Fecha_de_finalizacion_calculada,divisa,Titulo_de_proyecto,fecha_de_inicio,filial
22286,00:00.0,0:00:00,1,1,2012-03-28,2,579 The School of Rock EOD June2011-Dec2011,2011-10-06,1
22287,03:29.5,0:00:00,1,1,2012-10-15,2,580 PRN EOD Aug2011-Dec2011,2011-10-06,1
22288,00:59.8,0:00:00,1,1,2012-03-21,2,581 Fast-Dry EOD Jul2011-Sep2011,2011-10-06,1
22289,02:42.5,0:00:00,1,1,2011-12-01,2,582 CLMG EOD Dec2010-Nov2011,2011-10-07,1
22290,02:03.0,0:00:00,1,1,2012-03-28,2,583 Cherrypharm EOD Sep2011-Aug2012,2011-10-07,1
22291,03:09.9,0:00:00,1,1,2013-01-14,1,584 FDO EOD Jun2011-May2012,2011-10-07,1
22293,04:03.8,0:00:00,1,1,2012-01-05,2,585 Intermarkets NetSuite Implementation,2011-10-11,1
22294,01:20.7,0:00:00,1,1,2012-04-23,1,586 Torstar Digital EOD Oct2011-Dec2011,2011-10-11,1
22303,00:00.0,0:00:00,1,1,2012-01-23,1,588 Workopolis Support Aug2011-Oct2011,2011-10-12,1
22304,00:00.0,0:00:00,1,1,2012-02-17,1,589 Knightsbridge Historical Transactions Reconciliation,2011-10-12,1
22305,00:00.0,0:00:00,1,1,2012-06-21,1,590 Knightsbridge EOD General June2011-May2012,2011-10-12,1
22306,00:00.0,0:00:00,1,1,2012-05-14,2,591 Swish Data EOD General 2011,2011-10-12,1
22307,01:20.0,0:00:00,1,1,2012-01-09,2,592 rPath EOD General Dec2010-Nov2011,2011-10-12,1
22308,02:19.7,0:00:00,1,1,2011-11-01,2,593 Rise Vision NS Implementation,2011-10-12,1
22309,00:49.7,0:00:00,1,1,2012-03-06,2,594 AES EOD Sep2011-Dec2011,2011-10-12,1
22310,00:49.4,0:00:00,1,1,2011-12-14,2,595 OutSell EOD General Jun2011-Oct2011,2011-10-12,1
22311,00:00.0,0:00:00,1,1,2012-04-11,2,596 Playaway EOD General Aug2011-Oct2011,2011-10-12,1
22312,00:00.0,0:00:00,1,1,2011-10-21,1,597 Torstar NS CRM Support Sep2011-Dec2011,2011-10-13,1
22317,00:00.0,0:00:00,1,1,2011-10-26,1,598 Workopolis - Future Revenue Report Oct2011,2011-10-17,1
22925,03:27.5,0:00:00,1,1,2012-03-20,2,599 Accuvant EOD General Oct2011-Sep2012,2011-10-26,1
23327,00:00.0,0:00:00,1,1,2012-04-20,1,600 Torstar NS CRM Support Nov2011-Dec2011,2011-11-02,1
23328,00:24.2,0:00:00,1,1,2011-12-02,2,601 Rise Vision T&M Support,2011-11-02,1
270,00:00.0,0:00:00,1,0,0000-00-00,2,1 EDI Trading Partner,2008-03-26,1
30556,00:18.4,0:00:00,1,1,2011-12-06,1,602 Knightsbridge Email Template Creation,2011-11-18,1
30559,00:09.7,0:00:00,1,1,2011-11-22,1,603 Granger Fuels Integration Broker Hardware Migration,2011-11-18,1
30561,00:14.6,0:00:00,1,1,2012-09-11,2,604 rPath EOD General Dec2011-Nov2012,2011-11-21,1
34206,06:50.8,0:00:00,1,1,2012-03-29,1,605 Pan/Parapan American Games Solution Scoping,2011-12-08,1
35907,02:55.7,0:00:00,1,1,2012-10-25,1,606 Workopolis EOD General Jan2012,2011-12-22,1
360,00:00.0,0:00:00,1,0,0000-00-00,2,2 NetSuite Implementation,2008-04-11,1
365,00:00.0,0:00:00,1,0,0000-00-00,2,3 NetSuite CRM Plus Implementation,2008-04-14,1
36527,00:40.2,0:00:00,1,1,2012-04-09,1,607 Knightsbridge - Sales vs Quota,2012-01-05,1
36730,02:51.3,0:00:00,1,1,2014-02-04,2,608 CLMG EOD Jan2012-Dec2012,2012-01-12,1
37054,02:42.0,0:00:00,1,1,2012-11-08,2,609 Automation-X Corp EOD General Feb2011-Jan2012,2012-01-23,1
38585,41:50.4,0:00:00,1,1,2013-09-09,1,610 ** ADhere - Internal Development 2012,2012-02-02,1
38586,00:55.6,0:00:00,1,1,2013-10-24,2,611 OutSell EOD General Feb2011,2012-02-03,1
